Seleção,Grupo,Camisa1,Nº,Nome,Posição_Copa,FC26_ID,FC26_Nome,FC26_Posição,FC26_PosAlternativas,Overall,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Positioning,ShortPassing,LongPassing,Curve,FKAccuracy,Crossing,Vision,Dribbling,BallControl,Agility,Balance,Reactions,Composure,Interceptions,DefensiveAwareness,StandingTackle,SlidingTackle,HeadingAccuracy,Aggression,Jumping,Stamina,Strength,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,PlayStyles,PlayStylesPlus,SkillMoves,WeakFoot,PreferredFoot
Czechia,A,Matej Kovar,26,Denis Visinsky,MID,80073,Denis Višinský,LW,"CAM,RW,LM",68,76,61,65,69,47,59,77,75,63,62,56,58,58,70,67,62,60,55,66,68,69,68,73,72,65,66,45,42,50,45,57,56,69,63,57,6,8,8,8,,,,3,3,1
Japan,F,Zion Suzuki,9,Keisuke Goto,FWD,76570,Keisuke Goto,ST,,56,53,58,40,47,29,65,53,53,64,54,50,47,65,57,43,32,40,40,31,51,47,45,52,46,55,45,20,30,25,25,63,35,73,59,80,7,7,5,8,,,,2,3,1
Australia,D,Mathew Ryan,26,Tete Yengi,FWD,260386,Tete Yengi,ST,,59,69,57,48,55,37,78,73,66,59,58,53,50,55,58,49,42,54,38,49,50,59,54,51,34,55,53,39,32,36,33,58,75,74,61,89,7,6,8,6,,Enforcer,,3,5,1
New Zealand,G,Max Crocombe,18,Ben Waine,FWD,245539,Ben Waine,ST,,62,77,61,54,60,44,68,75,78,61,62,58,61,62,62,54,50,59,53,57,54,60,61,65,61,56,56,48,36,45,38,60,73,74,64,68,13,7,11,13,,Finesse Shot,,2,3,1
Bosnia and Herzegovina,B,Nikola Vasilj,25,Jovo Lukic,FWD,75209,Jovo Lukić,ST,,64,61,64,47,59,27,69,58,63,65,66,60,60,59,65,55,40,47,40,38,49,58,64,51,50,61,61,25,17,27,25,67,60,72,67,74,13,10,8,14,,,,2,3,2
Côte d'Ivoire,E,Yahia Fofana,26,Christ Inao Oulaï,MID,74735,Christ Ravynel Inao Oulaï,CAM,"CDM,CM",64,74,50,61,69,58,49,76,73,53,44,47,50,54,57,68,67,48,52,47,64,68,67,84,87,49,67,55,56,66,62,42,55,46,68,38,14,10,11,13,,,,3,3,1
Ecuador,E,Hernán Galíndez,16,Jordy Caicedo,FWD,268508,Jordy Caicedo,ST,,66,69,65,44,62,34,77,63,73,66,68,60,60,66,63,57,35,40,39,22,54,62,65,62,53,59,65,27,29,34,26,70,59,82,64,90,6,11,7,10,,,,2,2,1
Mexico,A,Raúl Rangel,1,Raúl Rangel,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,12,Carlos Acevedo,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,13,Guillermo Ochoa,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,2,Jorge Sánchez,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,3,César Montes,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,5,Johan Vásquez,DEF,244349,Johan Vásquez,CB,,75,61,33,58,60,76,75,59,62,32,38,25,29,45,40,65,60,40,40,62,47,53,68,51,64,76,69,76,76,76,76,76,86,76,80,67,9,12,7,12,,"Block,Intercept,Aerial Fortress",,2,2,2
Mexico,A,Raúl Rangel,15,Israel Reyes,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,20,Mateo Chávez,DEF,78784,Mateo Chávez,LB,LM,72,82,45,64,71,65,68,81,83,41,59,39,39,37,53,68,59,67,37,69,61,71,70,79,72,67,63,67,66,67,71,50,77,67,80,58,13,6,7,8,,,,3,3,2
Mexico,A,Raúl Rangel,23,Jesús Gallardo,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,4,Edson Álvarez,MID,235844,Edson Álvarez,CDM,CM,78,65,58,69,72,78,79,64,65,57,74,40,63,65,56,78,76,42,40,64,69,72,76,60,68,77,76,79,76,79,77,82,86,79,72,80,7,11,10,7,,"Block,Anticipate,Slide Tackle,Bruiser",,2,2,1
Mexico,A,Raúl Rangel,6,Erik Lira,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,7,Luis Romo,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,8,Álvaro Fidalgo,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Switzerland,B,Gregor Kobel,9,Johan Manzambi,FWD,276694,Johan Manzambi,CAM,"CM,ST",67,75,61,59,72,56,62,80,70,65,66,51,55,42,66,66,60,46,37,52,63,72,70,80,78,65,63,55,57,56,52,58,55,73,60,64,8,10,8,13,,Technical,,4,3,1
Mexico,A,Raúl Rangel,18,Obed Vargas,MID,263701,Obed Vargas,CM,"CDM,RM,CAM",69,74,52,64,73,63,57,76,73,51,55,49,44,47,70,69,64,53,44,57,69,71,72,79,78,79,70,68,65,65,60,48,68,53,78,43,6,9,11,7,,Technical,,3,3,1
Mexico,A,Raúl Rangel,19,Gilberto Mora,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,24,Luis Chávez,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,26,Brian Gutiérrez,MID,260984,Brian Gutiérrez,LM,"CM,CAM,LW",68,67,63,64,69,41,58,68,67,66,65,61,48,50,68,69,67,55,51,57,66,69,69,71,73,65,61,32,43,42,45,42,55,53,64,57,10,13,7,13,,,,3,4,1
Japan,F,Zion Suzuki,26,Kento Shiogai,FWD,74879,Kento Shiogai,ST,,66,84,65,55,66,21,57,85,84,64,75,61,59,59,63,57,49,67,59,52,54,69,64,65,64,66,54,13,22,14,19,59,58,73,51,58,8,7,14,11,,Quick Step,,2,4,1
Mexico,A,Raúl Rangel,10,Alexis Vega,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,11,Santiago Gimenez,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,14,Armando González,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,16,Julián Quiñones,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,21,César Huerta,FWD,246289,César Huerta,LW,"LM,RW",73,84,68,68,75,48,70,83,84,69,66,67,69,68,68,70,68,51,53,72,68,79,71,91,77,55,57,24,40,61,60,66,51,82,79,72,7,12,6,11,,Rapid,,3,3,1
Mexico,A,Raúl Rangel,22,Guillermo Martínez,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,A,Raúl Rangel,25,Roberto Alvarado,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,1,Ronwen Williams,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,16,Sipho Chaine,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,22,Ricardo Goss,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,2,Thabang Matuludi,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,3,Khulumani Ndamane,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,14,Mbekezeli Mbokazi,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,18,Samukele Kabini,DEF,77951,Samukele Kabini,LB,"CB,LM",63,71,29,54,60,59,60,70,72,25,31,25,31,40,51,58,54,44,28,58,52,59,63,57,65,58,54,59,57,60,59,62,56,69,63,60,12,15,6,10,,,,2,3,2
South Africa,A,Ronwen Williams,19,Nkosinathi Sibisi,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,20,Khuliso Mudau,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,21,Ime Okon,DEF,79280,Ime Okon,CB,,67,77,30,44,59,68,70,79,76,22,53,24,29,34,35,57,40,30,22,41,35,56,68,52,53,58,51,66,71,67,65,66,68,81,64,72,7,12,12,11,,,,2,3,1
South Africa,A,Ronwen Williams,24,Olwethu Makhanya,DEF,278688,Olwethu Makhanya,CB,,57,74,32,42,44,56,64,78,70,30,41,29,30,40,28,53,50,34,29,36,26,38,49,32,68,50,52,49,54,62,59,55,55,74,59,69,6,9,12,12,,,,2,2,1
South Africa,A,Ronwen Williams,25,Kamogelo Sebelebele,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,26,Bradley Cross,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,4,Teboho Mokoena,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,5,Thalente Mbatha,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,6,Aubrey Modiba,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,13,Sphephelo Sithole,MID,257293,Sphephelo Sithole,CDM,CM,65,64,53,59,61,64,74,63,64,46,64,59,42,51,66,64,61,39,48,50,64,62,61,56,51,63,66,65,63,65,60,65,74,76,66,78,12,14,14,10,,,,2,2,1
South Africa,A,Ronwen Williams,23,Jayden Adams,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,A,Ronwen Williams,7,Oswin Appollis,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
